Addresses,amount_DBI,tx_list_DBI,amount_LI,tx_list_LI,amount_SI,tx_list_SI,deposited_DBI,deposited_LI,deposited_SI
0x55de6db9660b24f5e7b73a0c37f50b7994238c91,0.0,,0.0,,0.0,,19.9848,0.0,3519.8643245753
0x4295f1ee7b35c4f5495705a7f6a40240fb3e0c98,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xd853d8a7480b80b932bd02b7af9477e81e8a37d6,0.0,,0.0,,0.0,,0.0,0.0,0.1421149491
0x91ea9e6ece7bf662d2d83fa8506f9767c8d39c9a,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xeaa34fc0e81f8eb96bd816f25db13fa153afc464,0.0,,0.0,,0.0,,2.6650177776,0.0,0.0
0x3985653e2faff4abfc290bddbde052d3605b2e19,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x37558f55a402026e301ff2499a5e8b127cdf0aaa,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xaa9d5cdadec5b530fa6d9cbb5905e38742629134,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x817a33e007afb85ec23da7de231c1902cf4686c1,0.0,,0.0,,0.0,,0.0,1.3948,0.0
0x72eab5b3d3280dbab7f059256543fcffc35cb2d1,0.0,,0.0,,0.0,,0.0,0.2798264886,0.0
0x4f0c7154a4e206bfa17adf7788958782a8ee8962,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x79f37a3d42b19bca7a67c5a312aef3066619ae67,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xcde1ea27d2e2fe235da74838c46f81a7f3c08013,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xaa57d019b7cfe7e91260ed93397449f0fc1562d1,0.0,,0.0,,0.0,,85.3108167291,0.0,0.0
0xa7af4580cc0c9ff4a526de9866689ae1c9817b5f,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x8d368f3c4ee6fdc8658066fe00ef435e4aa8926c,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x42cf90a1a6beecd9cacb5d41273c3f050f591ea8,0.0,,0.0,,0.0,,0.0,0.0,200.0
0x50284b759083c10c31465fdb1b3ee1e5639df80e,0.0,,0.0,,0.0,,0.0,0.0,0.1420106042
0xf7d0fa517a5244d9e7d00a1f54a114ba2fa150f3,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x7b03da97122761b95b49cee62319ae73bac67155,0.0,,0.0,,0.0,,0.1265,0.0195,0.0
0x50630f6f95def55250c1e6adc069760d1d28849e,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x02ca884e10a36b822c996a3339bdd21417a4d092,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x136dafec8bf39db3f5c2b44e15f0a86a4cd5a17a,0.0,,0.0,,0.0,,4.8045113940999995,0.0,0.0
